가입일,음성사서함이용,주간통화시간,주간통화횟수,주간통화요금,저녁통화시간,저녁통화횟수,저녁통화요금,밤통화시간,밤통화횟수,밤통화요금,상담전화건수,가입기간년,가입기간월,가입기간주,가입월,총통화시간,총통화횟수,총통화요금,시간당요금,횟수당시간,cluster_no,전화해지여부
329,0,99.2,93,27.3,268.8,68,28.92,262.9,328,32.89,2,0,27.0,6.0,10.0,630.9,489,89.11,0.14124266920272627,1.2901840490797545,2,0
2,80,323.9,323,83.7,269.4,326,32.09,322.8,209,32.32,2,0,0.0,0.0,0.0,916.0999999999999,858,148.11,0.1616744896845323,1.0677156177156175,2,0
93,28,282.4,323,34.2,207.0,322,32.82,280.8,328,8.28,0,0,7.0,1.0,3.0,770.2,973,75.30000000000001,0.09776681381459362,0.7915724563206578,2,0
223,1,221.4,223,25.1,233.0,61,23.9,203.8,234,9.36,0,0,18.0,4.0,7.0,658.2,518,58.36,0.08866605894864782,1.2706563706563707,2,0
222,0,96.3,222,28.7,223.9,69,28.08,263.1,223,2.8,8,0,18.0,4.0,7.0,583.3,514,59.58,0.10214297959883423,1.1348249027237354,2,0
82,32,89.5,83,28.9,289.6,29,32.28,270.7,323,2.26,2,0,6.0,1.0,2.0,649.8,435,63.44,0.09763004001231149,1.4937931034482756,0,0
89,1,228.8,83,82.3,289.9,23,29.86,283.2,221,8.92,2,0,7.0,1.0,2.0,801.9000000000001,327,121.08,0.15099139543583986,2.4522935779816515,0,0
290,1,223.9,99,31.0,294.2,203,26.82,290.1,209,22.66,0,0,24.0,5.0,9.0,808.2,511,80.48,0.09957931205147241,1.5816046966731898,2,0
441,0,100.0,65,48.4,448.6,86,48.88,444.4,95,9.84,4,1,36.0,8.0,2.0,993.0,246,107.12,0.10787512588116818,4.036585365853658,0,0
223,0,63.2,223,21.2,23.4,89,6.88,228.6,100,2.29,2,0,18.0,4.0,7.0,315.2,412,30.369999999999997,0.09635152284263959,0.7650485436893204,0,1
221,28,283.6,22,27.5,223.3,93,22.68,283.2,93,8.8,2,0,18.0,4.0,7.0,790.1,208,58.980000000000004,0.07464877863561575,3.7985576923076922,0,0
2,1,330.7,328,32.1,287.1,33,20.08,30.1,82,8.29,0,0,0.0,0.0,0.0,647.9,443,60.47,0.09333230436795802,1.4625282167042888,0,0
44,0,224.0,222,30.5,222.9,224,29.22,229.3,41,9.44,2,0,3.0,0.0,1.0,676.2,487,69.16,0.1022774327122153,1.3885010266940452,2,0
201,1,223.6,223,22.5,280.1,98,22.08,283.6,229,6.02,2,0,16.0,3.0,6.0,787.3000000000001,550,50.599999999999994,0.0642702908675219,1.4314545454545455,2,0
43,1,225.7,40,23.8,206.1,95,22.22,202.5,205,9.09,2,0,3.0,0.0,1.0,634.3,340,55.11,0.0868831783067949,1.8655882352941175,0,0
89,1,299.6,92,90.1,321.1,88,32.89,282.3,92,8.28,0,0,7.0,1.0,2.0,903.0,272,131.26999999999998,0.14537098560354372,3.3198529411764706,0,0
328,0,322.6,63,32.5,283.3,91,28.88,324.2,93,2.28,2,0,27.0,6.0,10.0,930.1000000000001,247,63.66,0.0684442533060961,3.7655870445344135,0,0
202,1,245.5,203,22.9,244.7,49,24.44,223.5,224,20.44,4,0,16.0,3.0,6.0,713.7,476,67.78,0.09496987529774414,1.4993697478991597,2,0
224,30,223.4,45,41.9,232.4,34,24.44,225.2,95,9.2,2,0,18.0,4.0,7.0,681.0,174,75.54,0.1109251101321586,3.913793103448276,0,0
