key_title,key_rdate,key_cont
 8월 10일(월) ~ 8월 14일(금),2020.08.10 00:39,[8월 10일(월)] ◇ 구주주청약 = 쌍방울 ◇ 일반공모청약 = 대덕 ◇ 보통주추가상장 = 유유제약(전환) 진원생명과학(스톡옵션행사) [8월 11일(화)] ◇ 일반공모청약 = 대...
"美 ITC ""대웅제약·메디톡스 균주, 6개 돌연변이 일치""",2020.08.07 16:02,미국 국제무역위원회(ITC)는 6일(현지시간) 메디톡스와 대웅제약 균주도용 소송에 관한 예비판결문 전문을 공개했다. ITC는 지난달 대웅제약이 메디톡스의...
NHN한국사이버결제 2분기 영업이익 98억원…작년 대비 5.9%↑,2020.08.07 07:58,코스닥 상장사 NHN한국사이버결제는 연결 기준 올해 2분기 영업이익이 98억원으로 지난해 동기보다 5.88% 증가한 것으로 잠정 집계됐다고 7일 공시했다. 매출은 1천487억원으로...
(마감)프로그램 723억 매도 우위,2020.08.06 15:36,한경닷컴
 (5일) 대우건설,2020.08.06 03:00,▲대우건설=1조1096억원 규모 부산 감만1구역 주택재개발정비사업 공사 수주.
손미진 수젠텍 대표 “호르몬 디지털 진단으로 新시장 개척”,2020.08.05 13:55,“디지털 자가 진단 플랫폼으로 신종 코로나바이러스 감염증(코로나19) 유행 이후에도 진단 시장을 선도하겠습니다.” 4일 충북 청주시...
개미군단이 이끈 '역대급 반전'…BBIG 올해 85% ↑,2020.08.04 17:22,코스피지수가 코로나19 발생 이전 고점을 회복했다. 증시에선 여러 기록이 쏟아졌다. 코스피지수가 고점 대비 20%가량 추락하는 데 걸린 시간은 단 20일...
작년 청계천에 모인 '행운의 동전' 2천700만원…장학금 활용,2020.08.04 11:15,청계천을 거니는 사람들이 행운을 기원하며 물속으로 던지는 '행운의 동전'이 모여 장학금을 이뤘다. 서울시는 2019년 한해 청계천에서 건진 동전을 모아 ...
"'언제 이렇게'…LS·KCC 10년 새 시총 반토막, OCI는 4분의 1 됐다",2020.08.03 15:40,재계 10위권 밖에 있는 중대형 그룹들의 시가총액이 요동치고 있다. 자산을 기준으로 하는 재계 순위에서 명맥은 유지하고 있지만 10년 새 시총이 4분의 1로 급감하며 시장에서 가혹...
" 원/달러 환율 2.9원 오른 1,194.2원(개장)",2020.08.03 09:00,/연합뉴스
" 원/달러 환율 3.1원 내린 1,191.3원(마감)",2020.07.31 15:32,/연합뉴스
빅히트엔터테인먼트 상장 늦춰지나…상장예비심사 중 추가 자료 요구,2020.07.30 17:09,빅히트엔터테인먼트의 올해 하반기 기업공개(IPO)에 제동이 걸렸다. 당초 30일로 예정됐던 상장예비심사 결과 통보가 지연됐기 때문이다. 빅히트는 세계적인 인기를 끌고 있는 보이그룹...
"반도체의 힘…삼성전자, 코로나 위기에 오히려 날았다",2020.07.30 09:51,전망 훌쩍 뛰어넘어…반도체 특수에 타 부문도 예상보다 양호 디스플레이 흑자 전환…3분기 실적 낙관은 불투명 삼성전자가 2분기에 신종 코로나바이러스 감염증...
"외국인은 사고 기관은 팔고…코스피, 0.27% 상승 마감(종합)",2020.07.29 16:24,"29일 코스피가 외국인 매수세에 3거래일 연속 상승했다. 이날 코스피는 전날보다 6.17포인트(0.27%) 오른 2,263.16에 거래를 마쳤다. 지수는..."
" SK이노베이션, 2분기 4천397억원 영업적자…""최악 면해""",2020.07.29 09:55,"1분기보다 적자 1조3천억원 넘게 줄여 매출 7조2천억원, 2016년 3분기 이후 최소 SK이노베이션이 2분기 4천397억원의 영업손실을 기록했다. 올해 1분기 보다 손실을 1조3..."
회사채 매입 '지원 사격' 시동 건 SPV,2020.07.28 17:30,정부가 저신용 회사채와 기업어음(CP)을 사들이기 위해 조성한 기업유동성지원기구(SPV)가 본격적으로 자산 매입을 시작한다. 다음달 세아제강을 비롯한 상당수 기업의 회사채 발행 과...
" 아시아나항공, 국유화 가능성에 20%대 급등",2020.07.28 14:46,"아시아나항공의 매각 협상과 관련해 ""모든 가능성을 감안하고 있다""는 정책당국자 발언이 나오면서 28일 아시아나항공 주가가 급등했다. 이날 오후 2시 40..."
"금호에이치티, 크리스탈지노믹스 2대주주로",2020.07.27 19:25,유가증권시장 상장기업 금호에이치티가 코스닥시장 기술특례상장 1호인 크리스탈지노믹스의 2대 주주로 올라선다. 금호에이치티는 크리스탈지노믹스 240만 주(5.48%)를 432억원에 취...
"""재미없는 리츠 가라""…변신 예고한 연 6% 배당 주유소리츠",2020.07.27 14:34,"""하나의 자산으로 시작해 마지막까지 그 하나로 끝나는 재미 없는 리츠(REITs·부동산간접투자회사)는 만들지 않을 것입니다."" 윤장호 코람코..."
"""5G 투자 재개 기대""…최고가 근접한 케이엠더블유",2020.07.26 17:21,5세대(5G) 이동통신 장비주들이 줄줄이 사상 최고가를 찍고 있다. 미국과 중국에서도 5G 투자가 확대되면서 수주가 예상되기 때문이다. 26일 한국거래소...
"코로나에 쑥쑥 크는 K웹툰…디앤씨미디어, 올해 71%↑",2020.07.24 10:40,언택트(비대면) 대표주자인 웹툰 기업들의 주가가 뛰고 있다. 국내외 신종 코로나바이러스 감염증(코로나19) 확산이 이어지면서 웹툰 시장의 성장세가 지속되...
"코스피, 소폭 하락 마감…2,220선 아래로",2020.07.23 15:37,"코스닥, 21개월 만에 800선 돌파 23일 코스피가 소폭 하락 마감했다. 이날 코스피는 전날보다 12.47포인트(0.56%) 내린 2,216.19에 장..."
부광약품 주가 급등 틈타 대주주 '수상한' 대량 매도,2020.07.22 17:31,부광약품 대주주인 정창수 부회장이 호재 발표를 앞두고 주식을 대량 매도해 일부 소액 주주들이 반발하고 있다. 부광약품은 22일 정 부회장이 257만647...
"두산중공업, 사흘째 급등…그린뉴딜 기대감 반영",2020.07.22 09:31,두산중공업이 정부의 그린뉴딜 정책에 따른 수혜 기대감에 급등세다. 22일 오전 9시24분 현재 두산중공업은 전날보다 1650원(23.08%) 오른 880...
" 원/달러 환율 5.4원 내린 1,197.8원(마감)",2020.07.21 15:31,/연합뉴스
 외국인 차익실현에 네이버·카카오 4%대 하락,2020.07.20 16:45,"순환매에 지난주부터 약세 지속…""선도지위 흔들림 없어"" 분석도 외국인이 20일 네이버, 카카오 등 인터넷·소프트웨어 주도주를 내다 팔면서 이들 기업 주가..."
"이수앱지스, ESMO서 두경부암 임상 1상 파트2 중간결과 공개",2020.07.20 08:54,이수앱지스는 오는 9월 19일부터 사흘간 열리는 '유럽종양학회 2020 온라인 회의(ESMO Virtual Congress 2020)'에 ...
(마감)코스피 외국인 1127억 순매수,2020.07.17 15:33,한경닷컴
제주도 드림타워가 뭐길래?…롯데관광개발 쓸어담는 기관,2020.07.16 17:15,기관투자가들이 연일 롯데관광개발 주식을 사들이고 있다. 지난달 이후 4거래일을 제외하고 매일 순매수 중이다. 롯데관광개발은 올해 내에 복합리조트인 제주 ...
"코스피, 보합권 출발…2200선 유지",2020.07.16 09:05,"16일 코스피가 보합세로 출발했다. 이날 오전 9시 3분 현재 코스피는 전 거래일보다 0.22포인트(0.01%) 내린 2,201.66을 나타냈다. 지수는..."
비트코인으로 직불카드 결제…'바이낸스 카드' 출시,2020.07.15 15:54,글로벌 블록체인 기업 바이낸스가 가상자산(암호화폐)으로 직불카드 결제가 가능한 '바이낸스 카드'를 출시한다. 바이낸스는 14일(현지시간) ...
 (14일) 유진로봇 등,2020.07.14 21:15,▲유진로봇=초소형 3차원(3D) 스캐닝 라이다 센서 관련 국내 특허 취득. ▲한프=운영자금 부족으로 인한 상환능력 약화에 따라 65억원 규모 부채에 연체 발생.
중국 국채에 외국인 자금 몰려…2분기 740조원 규모,2020.07.14 10:19,중국 국채가 새로운 투자 대안으로 부상하면서 외국인 자금이 몰리고 있다고 월스트리트저널(WSJ)이 13일(현지시간) 보도했다. 경제 자료 제공기관인 CE...
"왓챠, 연평균 매출 191% 고속성장…韓流콘텐츠 앞세워 해외 공략",2020.07.13 17:09,"“영화를 보는 시간 10분, 넷플릭스에서 뭘 볼지 찾는 데 1시간.” 넷플릭스 사용자 사이에서 나오는 우스갯소리다. 영화를 보는 시..."
"코스피, 코로나19 치료제 기대에 상승 출발…2,160대(종합)",2020.07.13 09:30,"금융·운송장비 등 경기민감주 강세…인터넷·제약은 약세 코스피가 13일 상승세로 출발하며 장중 2,160선을 회복했다. 이날 오전 9시 13분 현재 코스피..."
"이수진 의원 ""국내 가상자산 산업, '붉은깃발법' 결말 안 돼""",2020.07.10 15:56,"""영국이 '붉은 깃발법'을 만든 결과 자동차 산업의 주도권이 독일로 넘어갔음을 모두가 알고 계실 겁니다. 국내 블록체인 및 가상자산 산업에..."
 (9일) 삼강엠앤티 등,2020.07.10 03:51,▲삼강엠앤티=576억원 규모 해상풍력발전기 하부 구조물 제작 수주. ▲천보=종속회사인 중원신소재 주식 200억원어치 현금 취득. ▲비디아이=최대주주 김일강 대표이사에서 안승만 명예...
" 원/달러 환율 1,195.5원 보합(마감)",2020.07.09 15:31,/연합뉴스
"코스피 하락 마감…2,160선 아래로",2020.07.08 15:36,"8일 코스피가 하락 마감했다. 이날 코스피는 전 거래일보다 5.29포인트(0.24%) 내린 2,158.88에 마감했다. 지수는 전장보다 2.59포인트(0..."
"덜 오른 NHN…""나도 비대면 수혜주인데""",2020.07.07 17:13,"NHN은 게임부터 간편결제, 웹툰, 클라우드, 전자상거래 솔루션까지 다 한다. 요즘 증시에서 각광받는 분야들이다. 하지만 주가는 네이버와 카카오 등에 비..."
6월 채권 발행 규모 84조…국채 발행 전월대비 10.5조↑,2020.07.07 11:08,"외국인, 국내 채권보유 잔고 사상 최대치 행진 지난달 국내 채권 발행 규모가 국채 발행 증가로 5월보다 늘어난 것으로 나타났다. 외국인은 국내 채권을 다시 순매수하며 보유 잔고는 ..."
 (7일) 유상기준일=엘앤에프 등,2020.07.07 00:01,◇유상기준일=엘앤에프 ◇구주주청약=에이디테크놀로지 에코마이스터 ◇공모주청약=IBKS제13호기업인수목적(IBK)
"FNC엔터테인먼트, AOA 리더 지민 탈퇴에 4% 급락",2020.07.06 09:58,FNC엔터테인먼트(에프엔씨엔터)의 주가가 소속 걸그룹 AOA의 괴롭힘 논란으로 장 초반 내림세를 보이고 있다. 6일 오전 9시51분 현재 FNC엔터테인먼...
'제2의 라임' 옵티머스는 어떻게 태어났나,2020.07.03 17:42,'제2의 라임'이라고 불리는 옵티머스자산운용은 허술한 사모펀드 검증 체계를 통해 태어났다. 금융당국 판매사 수탁사 사무관리회사가 있었지만 ...
외환보유액 4천107억달러…한달 새 34억달러 늘어,2020.07.03 06:00,"우리나라 외환보유액이 한 달 사이 약 34억달러 불었다. 한국은행은 6월 말 기준 외환보유액은 4천107억5천만달러로, 지난 5월 말(4천73억1천만달러..."
"SK바이오팜, 코스피200 조기편입 '청신호'…9월 예상",2020.07.02 14:27,"SK바이오팜이 상장 첫날 급등하면서 코스피200지수 조기 편입에 대한 낙관적 관측들이 나오고 있다. 코스피200지수 편입은 오는 9월에, 글로벌 지수에는..."
"""실적주 프리미엄 주목…음식료·하드웨어주 유망""",2020.07.01 17:19,하반기 주식시장에선 실적이 좋은 종목과 나쁜 종목 간 주가 양극화가 평소보다 더 심화될 것이란 관측이 나왔다. 시중에 유동성이 넘치지만 2·3분기 실적 개선이 예상되는...
"금호에이치티 ""다이노나 주식 200억원어치 취득…지분율 18.7%""",2020.07.01 11:55,코스피 상장사 금호에이치티는 의학 및 약학 연구개발업 업체 다이노나의 주식 545만7천25주를 약 200억원에 취득한다고 1일 공시했다. 주식 취득 뒤 금호에이치티의 다이노나 지분...
(마감)코스피 외국인 721억 순매도,2020.06.30 15:33,한경닷컴
"아시아나항공, 3000억원 규모 전환사채 발행",2020.06.29 18:30,아시아나항공은 산업은행과 수출입은행을 대상으로 3000억원 규모의 무기명식 무보증 전환사채(CB)를 발행하기로 했다고 29일 공시했다. 표면이자율과 만기...
"코로나 시대, 펀드투자 고민이라면…메리츠펀드마스터랩",2020.06.29 08:55,'메리츠펀드마스터랩'은 어떤 펀드를 언제 사야 하는지 고민하는 사람들을 위해 메리츠증권이 내놓은 랩어카운트 상품이다. 29일 메리츠증권에 ...
"S&P500선물 숏 베팅 9년래 최고치…""밸류에이션 너무 높다""",2020.06.26 15:54,미국 뉴욕증시에서 S&P500 선물에 대한 숏(매도) 베팅이 2011년 이후 최고치를 기록했다. 기관투자가들 사이에서 현재 주가가 너무 올랐다는 인식이 확산된 결과라는 분석이다. ...
"증권거래세 왜 남겨두나?…""세제개편, 투자활성화 방안 아냐""",2020.06.26 08:11,정부가 내놓은 '금융세제 선진화 추진방향'을 두고 증권가에서는 불만이 많다. 실제 개편 내용과 영향은 지켜봐야 하지만 투자심리를 저해할 것...
" 원/달러 환율 5.3원 오른 1,204.7원(마감)",2020.06.25 15:31,/연합뉴스
 (25일) 신규상장=젠큐릭스(229000) 등,2020.06.25 04:11,"◇신규상장=젠큐릭스(229000) ◇무상기준일=오스테오닉 힘스 ◇무상권리락=제테마 ◇공모주청약=위더스제약(NH,삼성)"
" 메디톡스, '메디톡신 취소' 일시 효력정지에 급등",2020.06.24 09:59,메디톡스가 보툴리눔 톡신 '메디톡신'의 품목허가 취소 처분에 대한 법원의 일시 효력정지 결정으로 24일 장 초반 급등하고 있다. 이날 오전 9시 44분 ...
"'택진이형 회사' 엔씨소프트, 게임株 최초 시총 20조원 돌파",2020.06.23 16:43,엔씨소프트가 시가총액 20조원을 넘어섰다. 게임주(株) 가운데 처음이다. 주가도 100만원을 앞두고 있어 '황제주'에 이름을 올릴 지도 관...
