,ticker
CMG제약,058820
HLB,028300
HLB생명과학,067630
JW생명과학,234080
JW신약,067290
JW중외제약,001060
강스템바이오텍,217730
경동제약,011040
광동제약,009290
국제약품,002720
녹십자,006280
녹십자엠에스,142280
녹십자홀딩스,005250
대봉엘에스,078140
대웅제약,069620
대원제약,003220
대화제약,067080
덴티움,145720
동국제약,086450
동아에스티,170900
동화약품,000020
메디톡스,086900
메디포스트,078160
메타바이오메드,059210
명문제약,017180
바이넥스,053030
바이오니아,064550
바이오솔루션,086820
보령,003850
부광약품,003000
비보존 제약,082800
비씨월드제약,200780
삼성바이오로직스,207940
삼성제약,001360
삼아제약,009300
삼일제약,000520
삼천당제약,000250
세운메디칼,100700
셀루메드,049180
셀트리온제약,068760
신신제약,002800
쎌바이오텍,049960
씨젠,096530
씨티씨바이오,060590
아스타,246720
아이큐어,175250
안국약품,001540
애드바이오텍,179530
에스텍파마,041910
에스티팜,237690
엑세스바이오,950130
엔지켐생명과학,183490
엔케이맥스,182400
엘앤씨바이오,290650
오스코텍,039200
올리패스,244460
옴니시스템,057540
우진비앤지,018620
유유제약,000220
유틸렉스,263050
유한양행,000100
이노시스,056090
이노테라피,246960
이연제약,102460
이오플로우,294090
이즈미디어,181340
인바디,041830
인터로조,119610
인트로메딕,150840
인트론바이오,048530
일동제약,249420
일동홀딩스,000230
일양약품,007570
제노레이,122310
제노포커스,187420
제이시스메디칼,287410
제일약품,271980
젠큐릭스,229000
조아제약,034940
종근당,185750
종근당바이오,063160
종근당홀딩스,001630
지나인제약,078650
지놈앤컴퍼니,314130
지티지웰니스,219750
진원생명과학,011000
케어젠,214370
코렌텍,104540
코메론,049430
코미팜,041960
코아스템켐온,166480
코오롱생명과학,102940
퀀타매트릭스,317690
테고사이언스,191420
테라젠이텍스,066700
티앤엘,340570
파마리서치,214450
파멥신,208340
파크시스템스,140860
팜젠사이언스,004720
퓨쳐켐,220100
프리시젼바이오,335810
피에스텍,002230
하이로닉,149980
한국유니온제약,080720
한미약품,128940
한올바이오파마,009420
환인제약,016580
휴메딕스,200670
휴비츠,065510
휴온스,243070
휴온스글로벌,084110
