key_title,key_rdate,key_cont
"신규 가상자산사업자, 신고 가능해졌다...'ISMS 예비인증' 도입",2022.07.20 12:11,신규 가상자산사업자를 위한 정보보호관리체계(ISMS) 예비인증 제도가 마련됐다. 20일 테크M에 따르면 과학기술정보통신부(과기정통부)는 신규 가상자산사업...
"네이버·카카오, 동반 상승…나스닥 반등에 함박웃음",2022.07.20 09:25,국내 인터넷 대장주인 네이버와 카카오 주가가 장 초반 나란히 상승하고 있다. 20일 오전 9시20분 기준 네이버는 전 거래일 대비 8000원(3.29%)...
"NNIP, 아시아 책임투자 전문가팀 발족",2022.07.19 19:09,NN인베스트먼트 파트너스(NNIP)는 19일 아시아에서 책임투자(RI) 역량을 더욱 강화하기 위해 아시아 전문가팀을 발족한다고 밝혔다. 싱가포르에 거점을...
"제이스텍, 삼성디스플레이와 91억 규모 공급계약 [주목 e공시]",2022.07.19 14:28,제이스텍은 삼성디스플레이와 90억7000만원 규모의 디스플레이 제조장비 공급계약을 체결했다고 19일 공시했다. 계약금액은 90억7000만원으로 지난해 연...
"LG이노텍, 애플 긴축 경영 소식에 5%대 약세",2022.07.19 09:43,LG이노텍이 간밤 애플의 긴축 경영 소식에 약세를 보이고 있다. 19일 오전 9시30분 기준 유가증권시장에서 LG이노텍은 전일 대비 1만8000원(5.2...
"""한온시스템, 길어지는 침체기…투자의견 '매수→중립'""-한국",2022.07.19 08:19,한국투자증권은 19일 한온시스템의 투자의견을 기존 '매수'에서 '중립'으로 내렸다. 수익성 부진이 장기화할 것으로 예상된다는...
(마감)코스피 외국인 6334억 순매수,2022.07.18 15:35,한경닷컴
"티빙-시즌 합병 영향 지속, CJ ENM 강세",2022.07.18 09:33,"CJ ENM이 장 초반 강세다. 18일 오전 9시 26분 현재 CJ ENM은 전 거래일보다 3,200원(3.22%) 오른 10만2,700원에 거래되고 있..."
"""네이버 목표가 11% 하향…수익성 개선 여지는 충분""-DB",2022.07.18 07:24,DB금융투자는 18일 네이버에 대해 경기 부진으로 광고 성장성이 둔화한 점을 감안한다며 목표주가를 기존 45만원에서 40만원으로 11.11% 내렸다. 다...
"재닛 옐런 ""인플레, 용납할 수 없을 정도로 높다"" 경고",2022.07.15 23:14,"재닛 옐런 미국 재무장관이 현재의 인플레이션이 용납할 수 없을 정도로 높다고 경고했다. 14일(현지시간) CNBC에 따르면 옐런은 ""지나치게 높은 물가를..."
(마감)코스피 외국인 2626억 순매수,2022.07.15 15:35,한경닷컴
