key_title,key_rdate,key_cont
"빗썸, 취약계층 가정 이른둥이 지원 기부금 전달",2021.02.08 11:19,국내 대표 가상자산 거래소 빗썸(대표 허백영)이 설 명절을 앞두고 취약계층 가정 이른둥이(미숙아)를 지원하기 위해 대한적십자사(회장 신희영)에 기부금을 ...
급증한 개인 투자자 모셔라…증권가 주말마다 서버 증설 '분주',2021.02.07 08:57,개인 주식투자자 접속 폭증으로 증권사 모바일 거래시스템(MTS)의 접속 지연이 잇따르면서 주요 증권사들이 서버 증설에 분주하다. 7일 금융투자업계에 따르...
" 원/달러 환율 2.5원 오른 1,121.0원(개장)",2021.02.05 09:00,/연합뉴스
"보이스피싱 당한 3000만원, 원금 두 배로 돌려받은 사연은?",2021.02.04 09:42,보이스피싱 사기꾼에게 3000만원을 잃은 피해자가 범인이 잡힌 뒤 6400만원을 돌려받는 특이한 일이 벌어졌다. 사기범이 가상화폐 가격이 급등하던 시점에 비트코인을 사뒀기 때문이다...
(마감)코스피 기관 5823억 매도 우위,2021.02.03 15:35,한경닷컴
아마존 분기 매출 첫 1천억불 돌파…알파벳은 23% 증가(종합),2021.02.03 09:17,미국의 전자상거래 업체 아마존의 분기 매출이 지난해 4분기에 사상 처음으로 1천억달러를 돌파했다. 미 CNBC 방송에 따르면 아마존은 작년 4분기 매출이...
(마감)코스피 외국인 1935억 순매수,2021.02.02 15:42,한경닷컴
'시총 상위' 종목 고공행진…대형주 오르자 중형주 더 올랐다,2021.02.01 16:13,1일 코스피지수가 외국인과 기관의 순매수에 힘입어 5거래일 만에 상승하며 3050선을 회복했다. 유가증권시장에서 삼성전자 SK하이닉스 LG화학 네이버 등...
"KB증권, 온라인 고객자산 21조원 돌파…프라임센터 밑바탕",2021.02.01 09:26,KB증권은 온라인 고객자산이 21조원을 돌파했다고 1일 밝혔다. KB증권은 최근 소매부문 총자산 100조 센츄리 클럽(Century Club)에 가입한데...
(마감)코스피 기관 2536억 매도 우위,2021.01.29 15:34,한경닷컴
