title,link,author,pubDate,description,isbn,isbn13,itemId,priceSales,priceStandard,mallType,stockStatus,mileage,cover,categoryId,categoryName,publisher,salesPoint,adult,fixedPrice,customerReviewRank,bestRank,seriesInfo.seriesId,seriesInfo.seriesLink,seriesInfo.seriesName
바람공방의 페어아일 니팅 - 기초부터 스틱 기법까지 페어아일의 모든 것,http://www.aladin.co.kr/shop/wproduct.aspx?ItemId=344999012&amp;partner=openAPI&amp;start=api,"바람공방 (지은이), 배혜영 (옮긴이)",2024-08-19,"뜨개의 대가, 바람공방이 작품 예시를 통해 페어아일 뜨는 법을 차근차근 알려준다. 작품을 만드는 모든 과정을 사진과 자세한 설명으로 알려준 후, 배운 기법으로 뜰 수 있는 작품들을 소개한다.",K982932752,9791193712436,344999012,21600,24000,BOOK,,1200,https://image.aladin.co.kr/product/34499/90/coversum/k982932752_1.jpg,53568,국내도서>건강/취미>공예>뜨개질/퀼트/십자수/바느질,한즈미디어(한스미디어),6210,False,True,10,1,,,
구움과자의 기술 - 당신의 5년을 절약해 줄,http://www.aladin.co.kr/shop/wproduct.aspx?ItemId=345557960&amp;partner=openAPI&amp;start=api,"정용현, 강현지 (지은이)",2024-08-28,구움과자로 많은 사랑을 받고 있는 ‘과자방’에서 실제로 판매했거나 판매중인 과자 가운데 소비자들의 검증을 거친 제품을 엄선해 실은 책이다. 그러나 단순히 숫자로 익히는 레시피 북은 아니다. 이름 그대로 매일 생산하는 제품을 균일하게 만들 수 있는 ‘기술’에 관한 책이다.,K192933163,9791186519905,345557960,29700,33000,BOOK,,1650,https://image.aladin.co.kr/product/34555/79/coversum/k192933163_1.jpg,53481,국내도서>요리/살림>제과제빵,비앤씨월드,6610,False,True,0,2,,,
따뜻한 여사의 5분 컷 전자레인지 레시피 100 - 버튼 한 번으로 끝내는 요리,http://www.aladin.co.kr/shop/wproduct.aspx?ItemId=343663316&amp;partner=openAPI&amp;start=api,김수림 (지은이),2024-08-10,"저자는 일과 육아, 살림을 병행하기 위해 최대한 본인이 편안해질 수 있는 효율적인 전자레인지 요리법을 찾았다. 그리고 그 노하우를 그녀의 첫 번째 책 《따뜻한 여사의 5분 컷 전자레인지 레시피 100》에 녹여 냈다.",K812932002,9791160322293,343663316,16020,17800,BOOK,,890,https://image.aladin.co.kr/product/34366/33/coversum/k812932002_1.jpg,53472,국내도서>요리/살림>생활요리,싸이프레스,12420,False,True,10,3,,,
"이윤경 요리 - 생각 한 알, 계절 한 스푼, 요리 한 그릇",http://www.aladin.co.kr/shop/wproduct.aspx?ItemId=345725910&amp;partner=openAPI&amp;start=api,이윤경 (지은이),2024-08-27,"도쿄의 한 와인바에서 내추럴 와인의 생명력 넘치는 에너지에 빠져들었고, 현재 서울 한남동에서 와인바를 운영하며 와인을 소개하고 그에 어울리는 요리는 만들고 있는 이윤경 작가의 레시피북.",K002933266,9791198656865,345725910,19800,22000,BOOK,,1100,https://image.aladin.co.kr/product/34572/59/coversum/k002933266_1.jpg,53472,국내도서>요리/살림>생활요리,유선사,3420,False,True,10,4,,,
홈·브런치,http://www.aladin.co.kr/shop/wproduct.aspx?ItemId=253619092&amp;partner=openAPI&amp;start=api,"스기쿠보 아키마사 (지은이), 임지인 (옮긴이)",2020-10-14,"도쿄를 넘어 전 세계인의 입맛을 사로잡은 10평 남짓한 작은 빵집, 베이커리 ‘365일’의 시그니처 브런치 레시피북. 누구나 손쉽게 ‘365일’의 브런치를 만들 수 있도록 간단한 토스트부터 빵과 함께할 때 가장 맛있는 달걀 요리, 다양한 재료를 넣은 샌드위치와 타르틴 등을 소개한다.",8968332789,9788968332784,253619092,4500,5000,BOOK,,250,https://image.aladin.co.kr/product/25361/90/coversum/8968332789_1.jpg,53472,국내도서>요리/살림>생활요리,나무수,10325,False,True,8,5,,,
뿐이 토핑 이유식 - 최신 이유식 지침을 반영한 세상 쉽고 맛있는 레시피 253,http://www.aladin.co.kr/shop/wproduct.aspx?ItemId=335110473&amp;partner=openAPI&amp;start=api,"정주희 (지은이), 이수진 (감수)",2024-03-07,"희야 작가는 첫째 튼이를 위해서 죽 이유식(밥솥 이유식)을, 이른둥이 뿐이를 위해서 토핑 이유식, 자기주도이유식까지 모두 만들어봤다. 또한 미국 소아과학회, WHO 자료, 해외 논문 등을 찾아보면서 변경된 이유식 지침에 대해서도 열심히 조사하고 공부했다. 그 모든 경험과 지식, 노하우를 이 책에 담았다.",K742938457,9791168222724,335110473,26820,29800,BOOK,,1490,https://image.aladin.co.kr/product/33511/4/coversum/k742938457_1.jpg,53477,국내도서>요리/살림>이유식,서사원,13731,False,True,10,6,,,
전기밥솥 레시피,http://www.aladin.co.kr/shop/wproduct.aspx?ItemId=305874078&amp;partner=openAPI&amp;start=api,"호시노 나나코 (지은이), 이진숙 (옮긴이)",2022-11-28,"버튼만 눌렀는데 일품요리 완성. 다양한 일상 요리에서부터 전문 일품요리, 인기 디저트까지 전기밥솥으로 71가지의 다양한 요리를 즐겨보자.",K992830814,9791188601547,305874078,3960,4400,BOOK,,220,https://image.aladin.co.kr/product/30587/40/coversum/k992830814_2.jpg,53491,국내도서>요리/살림>나라별 요리>일본요리,참돌,13001,False,True,9,7,,,
종이접기 매니아를 위한 Origami PRO : 신화 종이접기편,http://www.aladin.co.kr/shop/wproduct.aspx?ItemId=345298325&amp;partner=openAPI&amp;start=api,"김진우, 박종우, 장용익, 이인섭, 맹형규, 정재일, 한지우, 유태용 (지은이)",2024-08-05,"신화 속 동물과 존재들을 생동감 넘치는 종이접기로 표현한 작품들이다. 수록된 각 작품은 신화적 인물을 형상화하여, 한 장의 종이로 신화 속 상징을 재현하는 특별한 경험을 선사한다. 이 작품들은 (사)한국종이접기협회의 수석창작위원인 김진우, 박종우, 장용익, 이인섭, 맹형규, 정재일, 한지우, 유태용 작가들이 참여하여 완성되었다.",K312932951,9788997772148,345298325,28000,28000,BOOK,,0,https://image.aladin.co.kr/product/34529/83/coversum/k312932951_1.jpg,53571,국내도서>건강/취미>공예>종이접기/종이공예,한국종이접기협회,5290,False,True,0,8,115301.0,http://www.aladin.co.kr/shop/common/wseriesitem.aspx?SRID=115301&amp;partner=openAPI,종이접기 매니아를 위한 Origami PRO 
"밥 챙겨 먹어요, 오늘도 행복하세요 - 15만 팔로워 올타임 레전드 마포농수산쎈타의 사계절 마음 편한 밥술친구 레시피",http://www.aladin.co.kr/shop/wproduct.aspx?ItemId=344744535&amp;partner=openAPI&amp;start=api,마포농수산쎈타 (지은이),2024-08-14,"출간 하루 만에 5천 부 돌파, 2주 만에 1만 부 돌파라는 대기록을 세운 요리책계의 혁명 『밥 챙겨 먹어요, 행복하세요』의 두 번째 레시피북이 출간되었다. ‘순두부열라면’ 창시자이자 트위터(현 엑스) 15만 팔로워가 열광 중인 자타공인 레시피 전도사 ‘마포농수산쎈타’가 우리의 사계절 입맛을 책임지러 돌아왔다.",K242932633,9791171712533,344744535,18000,20000,BOOK,,1000,https://image.aladin.co.kr/product/34474/45/coversum/k242932633_1.jpg,53472,국내도서>요리/살림>생활요리,위즈덤하우스,4380,False,True,10,9,,,
홀썸의 집밥 예찬 - 매일의 건강 집밥이 불러온 놀라운 일상의 기적,http://www.aladin.co.kr/shop/wproduct.aspx?ItemId=339709196&amp;partner=openAPI&amp;start=api,홀썸모먼트 (지은이),2024-05-21,"유수 대학 논문과 책, 강의를 통해 얻은 건강 지식과 저자가 일상에서 쌓아온 다양한 경험을 바탕으로 직접 개발하고 실천 중인 레시피를 개발했다. 최대한 가공식품의 사용을 피하고, 누구나 손쉽게 따라 만들 수 있는 건강한 집밥 레시피를 꾸준히 개발하여 모두 소개했다.",K612930441,9791130653044,339709196,22500,25000,BOOK,,1250,https://image.aladin.co.kr/product/33970/91/coversum/k612930441_2.jpg,53472,국내도서>요리/살림>생활요리,다산라이프,21170,False,True,9,10,,,
