"시점","구분별(1)",합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계
"시점","구분별(1)",소계,종로구,중구,용산구,성동구,광진구,동대문구,중랑구,성북구,강북구,도봉구,노원구,은평구,서대문구,마포구,양천구,강서구,구로구,금천구,영등포구,동작구,관악구,서초구,강남구,송파구,강동구
"2016 1/4","계",10282821,163993,134436,247297,304565,374798,373657,418341,468699,333615,352521,577805,501242,326746,397575,487368,597473,454252,255274,417209,413282,530072,450085,578862,663904,459750
"2016 2/4","계",10260972,163235,134175,246934,305525,374053,372214,418134,467142,332737,352164,576782,499850,327113,395687,486258,598190,453526,254662,414901,413969,529254,450005,576413,662605,455444
"2016 3/4","계",10236408,162957,134463,246317,305506,373680,371253,416887,464505,332116,351253,574498,498514,326359,393766,485505,599611,451754,253667,410757,414261,528187,450906,574974,662413,452299
"2016 4/4","계",10204057,161922,134409,245102,307161,372104,370312,415677,461617,330704,350272,571212,495937,325871,390887,481845,602104,449600,254654,406779,413247,525607,451477,572140,664946,448471
"2017 1/4","계",10197604,162820,133240,244203,311244,372164,369496,414503,461260,330192,348646,569384,494388,327163,389649,479978,603772,447874,255082,402985,412520,525515,450310,570500,667483,453233
"2017 2/4","계",10178395,163521,132838,243406,311831,371728,368050,414783,459276,330004,347941,566411,492835,326412,388574,478119,606823,445770,254711,402967,411217,523859,447936,568425,667898,453060
"2017 3/4","계",10158411,164640,134174,243922,312933,372414,367769,414554,458261,329042,347338,562278,491899,326479,387776,476627,607877,443288,253646,401908,410703,522849,447177,565731,668366,446760
"2017 4/4","계",10124579,164257,134593,244444,312711,372298,366011,412780,455407,328002,346234,558075,491202,325028,385783,475018,608255,441559,253491,402024,408493,520929,445401,561052,671173,440359
"2018 1/4","계",10112070,164348,135139,245411,314551,371671,364962,411552,453902,327511,345041,555803,490253,324871,385624,473087,608361,440396,253344,403988,406715,522292,445164,557865,671994,438225
"2018 2/4","계",10089517,163569,135427,245245,316068,370519,364527,410296,451829,326063,344096,553177,489045,323261,385507,471026,606981,440305,252752,404501,407275,521960,443989,551888,673161,437050
"2018 3/4","계",10068381,163086,135258,245087,317197,369999,366101,409058,449574,324276,342990,551069,487849,322497,385032,469945,605068,439234,252359,403724,407925,521685,441539,549255,673582,434992
"2018 4/4","계",10049607,163026,135633,245090,316463,371063,364338,408147,447687,322915,341649,548160,487666,323080,386359,468145,603611,438486,254021,403600,409385,520040,438163,547453,673507,431920
"2019 1/4","계",10054979,162913,135836,245139,314608,370658,363262,407211,450021,321151,340089,545486,488713,324604,386571,466622,602886,438889,254244,404556,412031,520645,437007,546875,685361,429601
"2019 2/4","계",10041574,162413,136276,245069,312991,369470,363101,405639,452292,319377,339001,542603,488285,324304,385985,465095,602230,439328,254061,404229,412000,519864,435631,547602,686181,428547
"2019 3/4","계",10025927,162860,136663,244989,311290,368337,363779,403776,454114,317875,337594,539829,486159,324089,385605,463931,600240,439850,252868,402478,410487,519953,435258,549043,684338,430522
"2019 4/4","계",10010983,161869,136488,245185,308979,366972,363023,402024,454744,317695,335631,537303,484546,323171,385925,462285,598273,439371,251820,400986,408912,517334,435107,550209,682741,440390
"2020 1/4","계",10013781,161984,136469,246165,307193,365990,362793,400678,454532,316750,333495,535495,482509,325875,386086,460532,595703,438308,251370,404766,407802,516662,434801,549898,680883,457042
"2020 2/4","계",9985652,160520,136030,245362,304851,363925,360380,399415,452290,315395,331744,533041,483938,324224,384957,462034,593203,436707,250554,405154,406776,516318,433062,546158,678067,461547
"2020 3/4","계",9953009,159842,135321,244953,302695,361923,358679,400989,449871,313550,329300,529532,485842,323860,383494,460048,589536,435751,249641,405982,404617,514555,429995,544085,676673,462275
"2020 4/4","계",9911088,158996,134635,244645,300505,360109,357014,399562,447056,311569,327361,527032,484043,322952,381858,457781,585901,432488,247835,407367,401572,509803,429025,544055,673926,463998
"2021 1/4","계",9828094,156567,133708,243336,298421,356191,352570,396807,444295,307537,323752,522225,479607,318814,378216,456019,582804,426675,244564,403070,398205,504140,425103,539538,667115,468815
"2021 2/4","계",9795426,155106,132259,240665,295767,355306,352259,394679,443206,306093,322419,520005,479409,317699,379984,454288,582995,424582,244685,402375,397231,502698,422174,536107,664341,469094
"2021 3/4","계",9765869,154318,131943,238300,294140,353380,351626,393149,441717,304257,320711,517038,477961,316415,379525,452255,581265,422361,244887,401814,396122,501572,420045,538075,664996,467997
