key_title,key_rdate,key_cont
"쌍용차, 에디슨모터스 품으로…쎄미시스코 주가 '껑충'",2021.10.21 09:35,쎄미시스코가 16% 넘게 오르고 있다. 쎄미시스코가 재무적투자자로 참여한 에디슨모터스 컨소시엄이 쌍용자동차의 우선협상대상자로 결정됐다는 소식이 주가를 끌...
"티웨이홀딩스, 3백40억원 주주배정 유상증자 결정",2021.10.20 16:15,코스피 상장사 티웨이홀딩스는 채무상환자금 등 약 340억원을 조달하고자 주주배정후 실권주 일반공모 유상증자를 결정했다고 20일 공시했다. 주당 1천70원에 신주 3천200만주(보통...
"IBK투자증권, 대표이사 직속 ESG협의회 신설",2021.10.20 09:41,IBK투자증권이 ESG(환경·사회·지배구조) 경영 실천을 위해 대표이사 직속 기구로 'ESG협의회'를 신설했다고 ...
(마감)코스피 기관 1819억 매수 우위,2021.10.19 15:36,한경닷컴
"코스피, 실적 시즌 기대감에 상승 출발…'7만전자' 안착할까",2021.10.19 09:17,코스피가 3분기 기업실적 기대감에 상승출발했다. 삼성전자는 이틀 연속 상승세를 보이며 7만원선 안착 기대감을 키우고 있다. 19일 오전 9시10분 현재 ...
" 원/달러 환율 5.2원 오른 1,187.6원(마감)",2021.10.18 15:31,/연합뉴스
"스튜디오산타클로스, '마이네임' 흥행 조짐에 장 초반 급등",2021.10.18 09:24,넷플릭스 시리즈 드라마 '마이네임'의 흥행에 드라마 제작사이자 연예 기획사인 스튜디오산타클로스가 장 초반 급등하고 있다. 18일 오전 9시...
(마감)코스피 기관 2096억 매수 우위,2021.10.15 15:37,한경닷컴
"""생큐 위메이드""…하나금투 권용규, 1위 올라",2021.10.15 08:00,'2021 제27회 한경 스타워즈' 하반기 대회가 5주차에 접어든 가운데 권용규 하나금융투자 강남파이낸스골드클럽 부장이 1위로 올라섰다. ...
" 원/달러 환율 7.0원 내린 1,186.8원(마감)",2021.10.14 15:31,/연합뉴스
"KCC글라스, 원심력콘크리트 판매 둔화 예상…목표가 9.8%↓-한국투자증권",2021.10.14 08:31,한국투자증권은 14일 KCC글라스에 대해 자동차 안전유리 매출이 줄어든데다 원심력콘크리트(PHC)파일 판매가 둔화될 전망이라며 목표주가를 기존보다 9.8...
(마감)코스피 기관 7714억 매수 우위,2021.10.13 15:42,한경닷컴
삼성전자·SK하이닉스 바닥 찍었나…13일 장 초반 반등,2021.10.13 09:25,메모리 반도체 시황 악화 전망에 지난달 말부터 주가가 추락했던 삼성전자와 SK하이닉스가 13일 장 초반 반등세를 보이고 있다. 이날 오전 9시20분 현재...
비트코인 쭉쭉 오르는데…내 알트코인은 왜 떨어진 걸까,2021.10.12 17:19,한국경제신문의 암호화폐 투자 뉴스레터 '코알라'를 만나보세요! 무료 구독신청 hankyung.com/newsletter 비트코인이 12일 ...
"삼성운용, 삼성 글로벌 M&A 펀드 출시",2021.10.12 11:24,삼성자산운용은 적극적인 인수합병(M&A)으로 장기 성장이 예상되는 기업에 투자하는 '삼성 글로벌 M&A 펀드'를 출시해 KB국민은행에서 판...
" 원/달러 환율 1.4원 오른 1,196.0원(개장)",2021.10.12 09:00,/연합뉴스
