년도,외환보유액_억달러,외환보유액대비단기채무_비율,대외채무_억달러,단기채무_억달러,대외채권_억달러,순채권_억달러,통화량_Lf평잔,통화량_Lf평잔증가율,통화량_M2평잔,통화량_M2평잔증가율,통화량_M1평잔,통화량_M1평잔증가율,통화량_본원통화평잔,통화량_본원통화평잔증가율,경상_경상수지_백만불,경상_상품수지_백만불,경상_서비스수지_백만불,경상_본원소득수지_백만불,경상_이전소득수지_백만불,무역수지_백만불,수출억불,(전년동월대비_수출_증감률),수입억불,(전년동월대비_수입_증감률),무역수지억불,외국인_보유금액_조원,유가증권시장_조원,코스닥시장_조원,시가총액대비_외국인_보유금액_비율,시가총액대비_유가증권시장_비율,시가총액대비_코스닥시장_비율,외국인 직접투자_백만불,원달러환율,원달러환율_전년대비변동률,원엔환율,원엔환율_전년대비변동률,해외직접투자건수,해외직접투자금액_억불,생산자물가총지수(2015=100),생산자물가총지수(2015=100)_전년동월비,소비자물가총지수(2015=100),소비자물가총지수(2015=100)_전년동월비,소비자물가_근원물가_전년동월비,소비자물가_생활물가_전년동월비,가계신용금액_조원,가계신용금액_조원_전년동기증감액,가계신용금액_조원_전년동기증감율,가계대출금액_조원,가계대출금액_조원_전년동기증감액,가계대출금액_조원_전년동기증감율,판매신용금액_조원,판매신용금액_조원_전년동기증감액,판매신용금액_조원_전년동기증감율
1995,0,175,"1,089",514,859,-230,0,0,0,0,0,0,0,0,"-10,230","-7,004","-1,395","-2,122",291,"-10,061","1,251",30.3,"1,351",32,-101,0,0,0,0,0,0,0,775.7,1.7,749.2,5.5,"3,505",32.3,65.19,4.7,54.8,4.5,4.6,0,0,0,0,0,0,0,0,0,0
1996,0,238.9,"1,448",703,"1,034",-414,0,0,0,0,0,0,0,0,"-24,461","-17,347","-4,632","-2,215",-268,"-20,624","1,297",3.7,"1,503",11.3,-206,0,0,0,0,0,0,"3,204",844.2,-8.2,726.5,3.1,"4,432",45.5,4.9,67.31,57.5,4.9,5.1,6,0,0,0,0,0,0,0,0,0
1997,89,657.9,"1,616",584,979,-637,659,16.3,482.4,18,118,18.2,21.1,-15,"-10,812","-6,745","-1,244","-3,167",345,"-8,452","1,362",5,"1,446",-3.8,-84,0,0,0,0,0,0,"6,971","1,695.00",-50.2,"1,302.80",-44.2,"4,101",39.1,4.4,69.86,60.1,4.4,3.4,6.1,0,0,0,0,0,0,0,0,0
1998,485,74.2,"1,516",360,"1,210",-305,750.9,13.9,596.2,23.6,113.7,-3.7,19.6,-7.2,"40,113","39,614","2,881","-5,201","2,819","39,031","1,323",-2.8,933,-35.5,390,0,0,0,0,0,0,"8,858","1,204.00",40.8,"1,050.20",24.1,"2,848",48,7.5,78.39,64.6,7.5,5.9,11.1,0,0,0,0,0,0,0,0,0
1999,741,52,"1,398",385,"1,382",-16,835.9,11.3,676.7,13.5,147.3,29.6,22,12.1,"21,785","25,446","1,042","-5,537",833,"23,933","1,437",8.6,"1,198",28.4,239,0,0,0,0,0,0,"15,545","1,138.00",5.8,"1,114.60",-5.8,"3,463",34,0.8,76.76,65.1,0.8,0.3,2.4,0,0,0,0,0,0,0,0,0
2000,962,45.5,"1,352",438,"1,601",249,882.8,5.6,691.4,2.2,183.3,24.5,26.4,20,"10,181","15,393",-846,"-4,152",-214,"11,787","1,723",19.9,"1,605",34,118,0,0,0,0,0,0,"15,256","1,264.50",-10,"1,101.50",1.8,"5,653",52.9,2.3,78.35,66.6,2.3,1.9,3.7,0,0,0,0,0,0,0,0,0
2001,"1,028",34.3,"1,160",353,"1,567",406,967.3,9.6,739.3,6.9,216.4,18.1,29.4,11.5,"2,165","9,407","-2,266","-3,714","-1,261","9,341","1,504",-12.7,"1,411",-12.1,93,100.8,100.8,0,32.8,39.4,0,"11,286","1,313.50",-3.7,"1,009.40",9.1,"6,666",53.7,4.1,77.98,69.3,4.1,3.6,5.1,0,0,0,0,0,0,0,0,0
2002,"1,214",36.6,"1,287",445,"1,798",512,"1,092.20",12.9,824.2,11.5,265,22.5,33.6,14.3,"4,066","14,414","-5,826","-2,407","-2,114","10,344","1,625",8,"1,521",7.8,103,107.6,100.2,7.4,36.3,38.7,19.7,"9,093","1,186.20",10.7,999.9,0.9,"8,166",40.6,2.8,77.76,71.2,2.8,3,2.5,464.7,0,0,416.8,0,0,47.9,0,0
2003,"1,554",30.8,"1,383",478,"2,265",882,"1,187.80",8.8,889,7.9,283.4,6.9,35.8,6.5,"11,308","22,138","-4,845","-2,820","-3,165","14,991","1,938",19.3,"1,788",17.6,150,161.8,156.1,5.7,41.2,43.9,15.3,"6,469","1,192.60",-0.5,"1,115.40",-10.4,"9,471",47.7,3.5,79.45,73.7,3.5,3.1,4,472.1,7.4,1.6,445.4,28.6,6.9,26.6,-21.3,-44.5
2004,"1,991",27.3,"1,483",544,"2,869","1,387","1,260.50",6.1,929.6,4.2,306.8,8.3,37.3,4.2,"29,290","39,173","-5,050","-1,794","-3,038","29,382","2,539",31,"2,245",25.5,294,179.7,174.7,5,40.5,42.3,16,"12,786","1,035.10",15.2,"1,009.70",10.5,"13,346",65.5,3.6,84.27,76.3,3.6,2.9,4.9,494.2,22.1,4.7,468.9,23.5,5.3,25.3,-1.4,-4.9
